 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"312780 Grão Mogol";40010,85;35332,01;31171,23;42864,07;42795,28;69569,41;163308,42;34936,77;32190,00;36029,35;34999,45;38282,38;38371,96;37193,10;36348,03;26174,55;24175,84;25514,61;32241,82;26745,28;848254,41
"312800 Guanhães";137790,89;133322,65;133857,41;147647,34;156495,37;150215,29;157069,65;149183,36;144579,50;198081,82;191253,01;181665,07;173380,41;163668,90;156238,32;173628,90;148721,07;120246,27;117669,00;136288,02;3071002,25
"312810 Guapé";7420,68;8553,39;11501,34;13775,37;14157,74;16623,25;12348,04;8023,76;13137,73;12270,48;12023,79;7942,31;11429,49;13494,43;15139,17;9231,04;7576,95;8887,38;8382,88;4922,47;216841,69
"312820 Guaraciaba";3007,07;2166,37;3982,41;4006,33;6918,00;4450,54;5648,70;6797,43;1786,39;8191,72;2171,28;4019,78;2799,76;3455,40;1810,48;-;-;1450,56;3719,19;1608,14;67989,55
"312830 Guaranésia";37365,50;36074,34;34852,82;34797,82;35673,82;36823,33;35941,80;34380,09;24653,44;34345,63;34990,23;36338,59;35728,35;36670,01;34561,83;35316,33;34331,99;32514,68;29140,52;33065,10;687566,22
"312860 Guarda-Mor";6230,38;10334,17;10829,14;9240,99;6526,92;7346,02;4811,79;7486,27;7160,28;10534,75;9800,91;7641,90;8186,43;9819,90;8348,94;2552,14;2243,10;4829,20;1683,23;4721,17;140327,63
"312870 Guaxupé";261687,45;306397,96;311292,46;250089,51;303905,53;286780,97;308617,84;274889,88;292013,86;275203,97;286982,37;292159,82;267333,03;285533,64;279586,74;281735,30;289493,99;281474,76;286216,85;279391,57;5700787,50
"312910 Gurinhatã";5910,17;2425,09;4673,70;4779,59;4313,47;3264,04;5928,83;4050,81;7481,51;4119,13;3978,38;2827,90;5997,67;7324,85;7620,03;3429,23;2514,90;2610,14;5727,67;4055,78;93032,89
"312940 Ibertioga";3667,00;3973,53;4802,91;3042,16;4320,29;5262,67;8915,36;4516,16;3941,76;495,19;5488,46;3527,53;4037,54;7782,26;7482,98;5863,81;6567,82;7412,12;8503,82;5099,69;104703,06
"312950 Ibiá";15759,60;16428,34;19530,11;17864,03;17772,55;19980,18;15840,58;19567,49;23434,03;16628,19;19328,22;20150,24;18805,57;12941,46;23701,29;16549,47;10123,88;18197,79;24250,97;12554,59;359408,58
"312970 Ibiraci";-;2836,03;535,06;1382,61;3449,89;2743,21;302,08;2139,43;4410,55;6880,09;1383,16;2465,02;927,21;3841,12;-;1146,05;-;-;-;-;34441,51
"312980 Ibirité";587777,33;560350,75;625611,31;517606,95;529235,02;536905,22;414254,22;409756,10;364651,65;366058,43;316127,38;344304,61;258149,14;206695,77;175526,61;332868,19;294607,13;230300,43;515931,40;-;7586717,64
"313030 Iguatama";6645,76;9768,59;5208,13;13492,44;8374,56;12055,44;3296,51;8913,75;8506,56;8064,66;4581,18;8504,82;6948,41;6552,60;4524,37;2444,41;5113,14;4252,84;5776,99;4292,41;137317,57
"313050 Ilicínea";18540,30;15728,45;23932,29;24246,48;24649,06;26526,02;26028,53;15873,47;23416,47;20974,00;24570,26;14122,45;11044,12;10372,07;20546,33;15843,36;11331,02;12938,44;18685,30;14373,38;373741,80
"313090 Inhapim";43661,55;33897,86;35494,90;25786,83;36271,70;24154,56;25636,78;30824,24;29564,12;14812,70;25709,07;17049,96;22577,20;20820,61;15303,45;19711,39;12462,86;15595,46;24028,81;35149,05;508513,10
"313120 Ipanema";38692,32;92109,81;51938,32;135226,53;244655,03;50571,30;51900,21;84195,77;44301,96;44297,70;42135,66;104578,40;42694,27;57960,84;53777,81;41912,72;38077,03;38377,57;37276,10;37230,69;1331910,04
"313130 Ipatinga";3863838,95;3588918,53;3664062,39;4130709,39;4146279,28;4199313,55;4375482,08;4288547,79;4509973,25;4192523,64;4310675,26;4188796,23;4306882,17;3883559,05;4091962,85;3562728,79;4170007,07;3509980,29;4412237,14;5491376,41;82887854,11
"313150 Ipuiúna";3826,08;1733,55;4496,47;2387,38;5080,39;2506,96;6698,94;7752,74;4072,20;2458,23;6216,84;2229,98;3039,83;8254,73;7045,30;5396,48;6587,53;3765,71;7370,14;4467,75;95387,23
"313170 Itabira";1003260,91;1326040,56;907481,16;938414,35;1236808,36;1084492,31;983865,44;854998,70;827312,78;926389,11;917803,21;800257,63;829630,66;943687,72;757059,41;589316,84;724771,05;729221,85;837728,37;871328,56;18089868,98
"313180 Itabirinha";30170,41;30310,09;28639,78;26900,74;28376,29;28297,92;29367,84;29577,26;28685,77;29539,76;26746,30;29710,62;29933,46;28966,77;30465,27;26724,63;22543,00;24873,17;30201,13;29665,92;569696,13
"313190 Itabirito";93331,85;86399,65;91308,78;97356,13;96194,94;126981,64;87847,82;82488,78;80596,03;91834,74;94293,57;88560,54;89129,02;101634,83;85146,36;65755,69;79835,77;78470,12;84189,46;83355,17;1784710,89
"313210 Itacarambi";21155,35;16093,02;13619,54;19889,39;29572,20;13521,56;16693,69;11784,73;18997,16;22562,24;11543,12;1514,48;29515,97;14770,89;12337,12;9993,70;9971,07;8867,50;12328,38;13245,38;307976,49
"313220 Itaguara";34112,48;34154,13;33700,73;34498,82;35670,03;34667,85;35278,27;35308,34;35231,62;34972,03;34493,86;35045,56;34439,32;34443,05;34542,99;35737,71;35033,22;34883,87;34764,62;34523,44;695501,94
"313230 Itaipé";19361,11;14685,96;17499,09;18190,41;16949,96;17883,83;16139,66;16491,18;17665,59;16321,94;12574,81;15781,15;18106,76;16369,13;16799,18;15240,36;11110,25;11373,97;11936,30;10848,71;311329,35
"313240 Itajubá";1436115,93;902941,36;1104417,33;1633896,46;1338012,78;1473730,11;1756114,81;1502424,64;1428187,48;1841327,61;1180745,36;1288666,53;1343916,56;1174614,14;1391387,82;1098337,56;1153804,05;1342929,81;1946552,44;2565471,19;28903593,97
"313250 Itamarandiba";78778,47;67179,69;76001,20;94460,57;93095,60;88393,86;86831,69;-;81308,70;77456,89;78665,56;78419,17;78598,11;77535,24;77347,48;60444,76;70576,63;74464,59;68927,26;64117,85;1472603,32
"313270 Itambacuri";118977,76;116544,84;116256,69;118687,71;149629,37;138496,69;142398,59;122374,93;118066,00;125139,91;133385,71;123303,58;128624,09;123311,74;118226,22;95989,01;82152,44;79939,77;108952,80;92088,96;2352546,81
"313290 Itamogi";7916,98;7198,20;6225,98;10307,34;7691,06;7929,90;8022,47;8798,46;-;-;-;-;-;-;-;-;-;-;-;-;64090,39
"313300 Itamonte";21447,00;33677,42;38116,15;34425,96;38961,13;35611,16;34957,01;35300,08;39135,36;36575,35;23601,89;28451,88;31328,24;4432,17;35697,81;37776,08;29523,77;36854,00;32896,93;-;608769,39
"313310 Itanhandu";86527,14;71104,30;70998,39;92288,13;96430,47;167728,78;163760,55;105461,64;90627,08;83827,52;65685,28;77424,67;47518,72;60482,92;49318,64;32150,20;86095,58;71662,80;48159,21;83804,65;1651056,67
"313320 Itanhomi";30070,02;30891,78;41158,99;39585,22;36065,26;40182,05;39251,48;39445,35;37452,09;41444,03;39032,96;42637,68;33633,88;42673,52;52809,83;21747,20;17337,15;10812,08;12352,94;14406,33;662989,84
"313330 Itaobim";103127,49;85886,53;99561,28;115773,91;124986,93;108918,38;151063,09;109872,08;107256,04;123792,23;116721,95;132042,85;120539,90;118866,85;116821,14;83963,01;83181,69;119846,77;124271,04;97715,64;2244208,80
"313350 Itapecerica";28513,25;32166,38;34710,94;26246,71;46144,71;36538,90;35057,20;44495,51;35529,60;35685,66;24597,03;34116,22;35370,23;31082,86;31501,32;8212,50;23364,50;18411,80;22135,65;24915,95;608796,92
"313375 Itaú de Minas";17865,05;12948,19;14928,68;18876,41;13221,21;14309,85;24063,16;29281,96;13338,06;13778,52;13104,66;9537,75;12073,07;7536,67;7343,60;9909,48;9425,47;11583,49;6700,54;9855,84;269681,66
"313380 Itaúna";404795,32;399335,11;368817,00;409374,18;426193,46;454369,10;481101,91;459090,37;432844,79;411749,91;407701,12;385844,55;409612,56;375612,84;380992,81;365949,85;306727,59;350840,64;374564,75;405662,96;8011180,82
"313420 Ituiutaba";429329,41;405923,11;411851,88;407284,62;479117,52;392614,46;450762,88;500648,66;420936,36;449363,31;459138,01;485140,65;436197,33;423497,92;432569,38;377876,17;392466,99;380797,83;449258,33;440743,22;8625518,04
"313440 Iturama";45648,28;65572,07;58106,90;70264,27;73213,88;63683,13;88128,38;89306,78;93057,92;86940,36;80330,85;67883,22;69827,18;77721,60;78274,92;64138,74;63908,34;78847,97;106611,78;121885,11;1543351,68
"313460 Jaboticatubas";12718,71;9973,82;12466,15;12632,64;12847,06;12765,38;12084,33;11697,75;10826,00;12967,82;12667,05;11817,42;12140,11;12808,66;12759,15;12918,98;11991,28;12972,37;12864,71;12881,25;246800,64
"313470 Jacinto";55087,42;57844,75;56306,58;59847,34;59742,90;106676,80;148013,76;71379,45;59801,97;60440,66;59098,51;42288,60;49373,15;59533,76;49587,73;22809,91;30872,38;19828,22;34417,87;29007,09;1131958,85
"313490 Jacutinga";48430,76;53764,39;51340,60;53773,76;48854,26;54910,60;54636,27;54416,28;46379,82;51721,87;44377,75;40120,46;46422,36;46901,09;40944,82;33576,87;36092,87;33708,14;-;-;840372,97
"313505 Jaíba";35706,87;39844,75;41470,02;43060,72;42759,91;35780,00;42929,52;37601,20;28229,19;38115,23;31023,32;33328,21;28415,95;42290,10;30983,44;25534,13;23107,58;24430,00;29770,12;28397,50;682777,76
"313510 Janaúba";613628,31;554380,50;656970,80;607790,59;652697,03;667348,87;666896,12;650848,26;759205,27;762632,66;822279,48;646863,96;756328,69;586219,85;639275,76;615040,19;561642,79;579898,74;661096,88;565534,33;13026579,08
"313520 Januária";85196,24;93580,25;106517,96;69605,26;104305,37;83733,85;87491,56;103184,23;101642,07;84267,08;107132,72;92227,29;89890,34;90566,20;87650,98;98897,82;75546,68;-;-;-;1561435,90
"313540 Jeceaba";6890,52;4824,57;5138,52;6554,62;4265,51;3855,50;3817,80;3835,32;3800,27;8212,17;4070,12;2994,42;6822,50;4113,99;1228,39;4650,51;2699,83;1293,08;3782,69;7010,67;89861,00
"313580 Jequitinhonha";67248,05;68348,41;65642,49;66678,11;61838,64;58701,48;56484,74;68957,72;67797,48;68056,13;53473,92;65395,19;60322,23;59001,05;45037,18;30510,46;37113,78;33840,67;-;-;1034447,73
"313600 Joaíma";30351,25;27788,09;26626,30;30672,04;31094,87;30170,03;30442,18;30861,38;30990,40;31061,48;30611,34;30775,03;31039,75;31047,82;30672,16;26821,85;20152,38;23177,61;-;-;524355,96
"313620 João Monlevade";432805,53;324139,50;433907,69;413587,71;526761,00;410981,40;479224,65;454906,65;402893,51;365850,36;393249,77;394188,29;403368,81;302481,70;388110,37;404083,51;398397,44;389096,99;439887,86;477704,55;8235627,29
"313630 João Pinheiro";98468,89;90168,78;117122,09;138338,64;132421,62;106957,85;110831,15;142410,45;96814,45;108461,30;106855,50;87207,84;81005,77;78387,30;86326,00;62150,57;99757,33;79702,39;81090,91;92183,37;1996662,20
"313650 Jordânia";11237,56;6389,02;10048,11;7914,96;7546,89;6744,22;8420,20;7044,74;13594,45;7975,59;13584,12;13897,60;13327,88;13749,60;12455,24;11880,67;11336,87;5821,78;7528,58;-;190498,08
"313670 Juiz de Fora";8635328,81;8257860,59;8372759,87;8700420,91;8529964,59;8959156,67;9885916,09;9102649,05;9133079,05;8906619,52;8849374,11;9757315,85;8710868,29;7796011,10;7418037,40;7246174,40;7516419,88;7652635,35;9803101,71;9464676,36;172698369,60
"313690 Juruaia";14619,05;18336,08;20003,43;18212,25;20091,36;19706,62;19535,15;18107,02;16599,32;18130,53;18921,07;16317,50;19325,00;17307,93;20401,25;12281,65;16237,86;12035,84;10568,41;14584,17;341321,49
"313700 Ladainha";13380,35;9928,81;12856,46;14042,06;17602,16;15607,19;13183,60;17744,27;14655,84;19427,46;21190,43;17536,76;15747,91;12260,30;19813,20;15360,88;14519,86;8656,74;11961,46;23153,51;308629,25
"313710 Lagamar";6154,33;4519,66;4975,95;3859,08;5435,56;5796,16;5334,64;6084,80;5529,55;4658,27;5307,85;6284,28;6027,93;5824,55;6028,74;4919,35;529,23;3786,92;927,79;2585,90;94570,54
"313720 Lagoa da Prata";254586,59;305645,35;285008,81;266734,59;233534,64;272632,92;237577,30;221181,50;257484,11;251065,95;253054,48;261048,53;246234,03;253226,92;231150,99;201362,66;179085,39;275271,33;498878,34;582643,13;5567407,56
"313750 Lagoa Formosa";18810,95;15908,50;19761,99;15125,70;18240,83;22656,94;24151,56;23315,24;18385,17;20213,48;21155,87;12057,52;23833,26;24850,46;19346,76;9622,78;5933,81;9273,33;7720,51;10120,53;340485,19
"313760 Lagoa Santa";59744,91;50718,19;62713,62;44447,71;105216,84;119116,08;141095,67;71214,88;58000,18;58095,12;53630,21;75089,04;50952,25;64697,86;64353,20;30239,31;55255,66;68615,74;74958,14;84704,61;1392859,22
"313770 Lajinha";28997,99;30663,44;26942,83;30405,91;34003,56;32627,56;32671,35;30965,63;32719,59;23565,69;22730,53;16866,34;14610,50;24294,20;34119,87;22038,42;16842,14;17327,20;18775,44;15420,72;506588,91
"313780 Lambari";33449,56;32535,00;33066,70;36005,55;41406,91;38006,75;43461,24;41117,44;33450,11;40296,21;32737,23;35964,57;24828,95;22139,19;28160,77;32203,34;31858,36;22592,09;22271,22;31730,71;657281,90
"313800 Laranjal";6510,32;5707,16;6592,40;3798,61;7919,02;6955,68;4887,50;6277,69;4995,13;6080,59;4647,83;5466,24;5237,76;5273,53;4722,30;2663,59;1312,69;1949,27;4423,19;3396,59;98817,09
"313820 Lavras";779241,52;819649,17;822554,04;830712,04;848071,74;829592,72;912563,27;833729,69;750471,20;832646,15;823230,56;718523,30;845213,67;763258,56;787927,17;676254,91;726706,65;689081,61;624282,06;719352,91;15633062,94
"313840 Leopoldina";295317,81;269459,42;236049,01;317470,79;279556,96;282611,24;313619,61;292306,48;289936,58;298269,97;296358,94;294827,47;292607,36;257787,16;263788,60;213174,81;296278,66;196940,47;340548,04;747953,73;6074863,11
"313860 Lima Duarte";26013,30;26299,27;31524,58;25110,96;25972,89;37594,61;37948,73;32172,29;33054,88;36438,16;32687,66;31082,03;30094,97;35357,26;29627,28;21828,22;13976,03;18993,83;20620,90;23775,86;570173,71
"313880 Luz";44163,03;58543,40;61032,22;58539,04;57305,69;56078,48;77180,32;86986,64;66412,64;141838,33;109217,10;70268,04;75081,02;59398,55;61830,38;58525,02;47700,48;43835,39;52339,51;49749,84;1336025,12
"313890 Machacalis";13487,92;30581,32;24664,78;25285,41;25877,44;25895,11;20580,66;22288,06;26373,61;27539,72;26095,16;21560,21;17603,45;18746,82;16860,02;11433,00;20620,33;12765,98;10711,22;14857,08;413827,30
"313900 Machado";46103,03;54472,45;59370,41;67638,44;74453,88;61550,93;78537,06;62115,04;63824,47;71730,64;58734,02;51296,32;68075,60;60238,49;62132,64;57849,68;78259,08;57600,84;71789,58;61469,48;1267242,08
"313920 Malacacheta";60361,03;57667,31;59426,60;71561,63;69073,28;75550,33;80328,39;76230,35;70665,51;78328,56;73125,86;81374,01;66303,44;73669,14;68015,69;52951,80;46072,73;33865,36;35247,20;44034,71;1273852,93
"313930 Manga";85329,06;96439,84;84620,24;80105,74;84815,60;84762,77;84506,94;80239,28;84668,55;86530,28;66918,38;68926,94;54596,09;52655,82;70184,56;60302,49;71022,61;55571,51;65445,61;54873,34;1472515,65
"313940 Manhuaçu";682577,26;700593,02;699174,83;711487,13;698060,90;740978,71;755756,68;776782,26;833417,20;854796,07;853072,65;842606,79;855054,85;856835,28;894591,05;633444,76;702806,07;479479,85;738968,96;1172370,26;15482854,58
"313950 Manhumirim";241779,89;163407,34;211064,69;221925,40;218880,90;222359,06;242279,36;215461,91;163187,57;177932,35;250450,51;192213,60;214332,82;157286,80;242242,60;190301,92;216202,53;189766,92;203222,22;217984,86;4152283,25
"313960 Mantena";65892,06;84759,15;77002,53;86381,49;110023,18;96269,82;122262,32;107547,01;98967,98;86980,65;85427,26;95475,36;31950,37;84826,23;79126,97;67063,00;72120,54;79178,27;-;-;1531254,19
"313980 Mar de Espanha";20334,26;20831,97;25094,14;22569,61;27003,73;25609,84;32774,08;27161,90;28064,51;28122,01;26672,77;33478,37;30113,65;31337,68;31866,43;20019,15;24631,46;12371,31;17658,79;19314,15;505029,81
"313990 Maria da Fé";12553,27;11163,76;8908,28;12577,92;12461,91;12639,09;12445,75;12411,78;12242,80;13326,54;12073,98;4929,34;9526,26;8021,92;12482,41;4508,64;6401,64;6673,22;6933,68;4560,81;196843,00
"314000 Mariana";133768,88;140524,67;134906,34;134557,21;129574,64;142297,10;174482,25;153193,20;151023,81;136191,88;140347,35;127203,17;140446,66;112923,04;119437,60;124099,15;120461,21;115677,80;120465,45;126201,90;2677783,31
"314050 Martinho Campos";13292,64;9227,09;9517,25;4975,34;13661,41;13730,44;13932,25;13190,68;5436,15;7652,76;5524,40;6510,43;10295,30;4765,03;10112,89;12918,83;4169,41;5080,60;11040,85;7402,83;182436,58
"314070 Mateus Leme";25941,93;35695,39;64411,19;54582,30;68951,49;55759,13;75675,22;75653,13;77789,86;71418,17;72341,65;70746,81;67536,26;49702,93;51210,80;28373,83;44823,81;34488,17;52773,03;40027,99;1117903,09
"314090 Matipó";24764,92;31784,20;24809,37;24220,13;25720,19;25069,43;27472,12;25521,45;26660,12;28337,57;49356,39;59424,31;55246,57;62938,20;53628,47;49521,12;36467,50;47121,63;52870,10;55939,21;786873,00
"314110 Matozinhos";29856,08;33584,12;34030,88;36375,99;46481,27;30629,31;45419,43;58010,40;45111,86;47469,19;42434,74;33308,96;38175,74;47308,75;37705,51;30703,86;18278,97;16054,46;13653,09;-;684592,61
"314120 Matutina";551,65;1280,29;1445,39;1365,91;1675,11;1884,21;2015,68;2153,55;204,50;1334,22;-;2225,28;112,83;582,42;292,62;-;582,42;324,90;-;270,38;18301,36
"314140 Medina";88938,11;78617,03;143500,83;124137,36;134808,44;158811,47;98460,48;88850,32;120089,90;122964,71;84506,93;116855,65;87748,29;84583,14;71255,05;66254,28;52500,06;51378,85;58554,52;66336,47;1899151,89
"314150 Mendes Pimentel";18544,73;18515,12;18599,06;18642,38;18428,02;18519,69;18409,87;18491,36;18795,20;18650,32;18634,45;18668,07;18598,87;18561,85;18501,62;18667,10;18503,40;18383,82;18361,97;18609,23;371086,13
"314160 Mercês";24791,25;24454,49;23096,10;21891,88;22940,69;22617,27;22466,40;22471,82;21323,53;23438,51;17313,26;24216,60;22087,45;19205,54;21439,30;20634,77;15777,05;11530,15;10283,49;13703,15;405682,70
"314180 Minas Novas";111268,13;106673,00;105387,59;118878,19;126534,16;129493,39;175875,34;149396,24;140324,17;122949,74;149120,99;130146,53;108260,17;128782,58;121269,98;78185,26;75362,01;78326,19;67222,30;91084,35;2314540,31
"314190 Minduri";2332,15;2285,31;2142,41;4662,55;2030,73;4845,81;4439,36;2327,60;2600,50;2261,75;2154,38;2308,03;1920,12;1921,35;3231,49;2195,73;1474,51;2173,07;4280,23;3509,79;55096,87
"314200 Mirabela";63000,59;62047,34;62764,76;66150,96;69479,11;68474,13;67365,97;65020,52;67466,23;68526,83;67014,00;68038,55;66351,84;58882,75;53147,30;27021,23;26999,96;24261,36;37478,84;27531,80;1117024,07
"314220 Miraí";17055,38;19725,44;17019,04;24836,31;28986,61;23962,97;36076,97;33436,17;29366,85;33134,33;29118,65;29554,72;28321,05;29004,97;30433,17;18503,88;13808,56;15085,69;16857,56;24246,28;498534,60
"314240 Moema";12841,18;12851,81;12850,25;12406,60;12827,22;12876,56;12844,03;12857,14;12878,49;12852,86;12869,30;12816,64;11963,99;8400,03;15202,88;12704,21;8728,04;8550,46;12844,66;8859,09;241025,44
"314260 Monsenhor Paulo";9058,04;10381,14;14826,62;14447,61;14115,24;13620,22;15237,22;14350,41;15178,75;12779,34;12977,94;11203,43;11022,79;13589,39;11421,93;8770,43;8921,06;6943,17;9878,67;7003,11;235726,51
"314270 Montalvânia";38573,12;36886,76;39716,21;39594,15;38757,35;38785,50;38523,36;46249,87;56639,08;48159,84;44270,63;46580,83;40690,95;40517,26;38247,08;36947,78;37157,83;37075,34;28280,69;27796,59;799450,22
"314280 Monte Alegre de Minas";38534,78;36960,71;37261,95;37061,19;38728,88;38790,06;37236,51;36211,17;36984,99;36330,41;32060,67;34116,04;29196,74;28414,05;33821,50;23498,31;33391,44;39512,54;27042,87;49609,12;704763,93
"314290 Monte Azul";179467,36;152999,65;137048,43;115907,95;176331,94;150216,57;140968,34;129115,89;150385,35;132112,55;111178,16;170923,85;143350,45;160139,61;144995,78;59741,39;40283,28;57549,54;95084,35;77454,13;2525254,57
"314300 Monte Belo";15571,44;14640,72;16490,79;15330,11;17820,08;21431,91;20709,18;20576,71;20766,34;12588,53;18394,26;14555,01;14830,19;13474,77;10415,78;12378,11;5576,80;6990,54;8327,93;12673,83;293543,03
"314310 Monte Carmelo";198151,27;184418,66;211412,92;221452,39;215676,92;257663,69;253706,81;208900,94;200853,65;194899,59;216392,28;194037,45;166041,26;174681,53;200341,77;138362,13;132894,10;125872,32;249273,22;338400,05;4083432,95
"314320 Monte Santo de Minas";45402,80;45418,03;45634,52;48370,40;46693,38;49947,77;61518,67;62783,26;58219,33;52858,69;50186,93;53700,07;50601,81;52962,79;46233,70;17933,43;39591,65;38916,14;46886,02;40660,31;954519,70
"314330 Montes Claros";6447016,56;5392183,96;5566813,40;5656756,82;6454111,74;5878414,35;6564844,83;6690477,96;6504066,12;7295970,06;6076562,70;6653557,19;6511105,85;6359615,34;5527830,76;6127632,72;5503685,47;6080837,91;6414494,07;5939147,89;123645125,70
"314350 Morada Nova de Minas";5731,67;4548,33;8202,68;4481,74;8498,95;9100,66;7841,78;8280,90;8317,66;10445,18;9742,62;8832,23;10598,72;7117,19;12105,12;5463,24;4242,18;4555,48;4582,72;5512,57;148201,62
"314390 Muriaé";3768457,44;2951397,16;3043010,20;3225299,36;3288555,27;2505561,35;3175403,87;3300885,61;2652277,17;3600206,25;3415576,44;3595809,21;3808125,41;3003968,43;3317118,91;2537715,58;2659870,66;3227127,32;3859026,52;3587558,66;64522950,82
"314400 Mutum";32678,10;34811,15;33888,07;31761,47;34318,51;33890,67;38957,02;36477,04;46512,00;53442,89;46665,46;46847,70;49204,56;44181,27;36729,12;23262,38;27320,63;21837,08;22623,38;33584,53;728993,03
"314410 Muzambinho";47716,42;47055,75;47037,69;47412,84;47216,17;47027,35;47410,32;47495,60;47620,35;47199,49;47521,52;47671,19;47163,77;47215,35;46608,64;39971,43;33353,77;34096,29;38143,66;38438,60;893376,20
"314430 Nanuque";87813,99;75332,22;111579,48;95776,93;101787,68;103819,17;96924,64;103179,20;99249,75;95199,79;73023,27;81871,15;90201,63;76667,33;76469,15;88195,16;71513,33;87198,56;142611,51;185428,05;1943841,99
"314450 Nazareno";2537,92;3159,34;1289,09;2589,08;4248,85;2113,93;4860,61;5608,87;5193,15;3485,92;6321,81;8032,12;7354,13;6175,62;6527,69;2312,46;2777,45;3728,01;4161,53;4778,73;87256,31
"314460 Nepomuceno";26188,85;22613,18;34910,06;33786,65;38013,06;30480,83;30440,14;30419,40;29944,39;30607,57;30609,81;29548,47;27263,16;27552,93;28726,46;17757,60;20417,44;17167,42;19943,81;23773,15;550164,38
"314470 Nova Era";13915,64;9815,29;24674,50;22519,22;20189,66;17178,65;10584,62;11782,60;13119,01;16114,30;17106,72;22669,23;9364,47;16338,85;-;31898,80;9419,51;15214,32;10274,28;10473,82;302653,49
"314480 Nova Lima";280286,38;240290,84;280551,67;236880,21;298259,10;339824,54;298724,28;372307,03;343565,52;347857,19;329048,32;305096,41;347843,63;319038,13;340666,42;274594,56;212902,30;243850,97;261270,04;349635,77;6022493,31
"314500 Nova Ponte";-;3921,25;19225,78;14009,65;10666,94;14458,32;16330,17;20994,99;-;19718,40;12545,39;-;11223,18;14194,06;10936,79;8746,50;8478,08;10489,72;16413,95;13920,10;226273,27
"314510 Nova Resende";24950,76;26072,80;23464,30;22092,60;16821,58;24281,90;24792,33;18813,02;20733,72;15096,32;15472,26;17494,19;22808,42;17644,59;15878,88;17197,15;15145,10;8894,76;15514,37;12035,59;375204,64
"314520 Nova Serrana";134772,00;138642,68;138776,90;141712,47;140253,83;147295,36;150934,69;158567,63;151598,69;134395,15;133384,18;149374,42;149005,36;143481,40;111494,08;112429,09;122712,71;141095,28;79730,19;168046,34;2747702,45
"314530 Novo Cruzeiro";36505,19;32739,43;40480,97;50836,45;57565,15;57410,58;47635,60;41813,03;46060,83;48476,25;43488,19;44929,57;45451,48;40950,51;40533,11;22881,72;23239,05;25430,47;27468,96;28536,94;802433,48
"314560 Oliveira";255782,80;349278,04;324220,98;308094,30;334602,36;302201,30;274019,76;293446,30;273866,39;318198,30;281513,75;303197,82;326361,42;309908,90;304965,38;300678,62;300049,85;314122,07;333413,66;442495,21;6250417,21
"314590 Ouro Branco";14241,55;20635,16;21587,09;17702,51;26316,80;30467,12;32558,49;38732,26;28507,58;30071,28;31168,57;27565,29;23647,13;24334,14;24305,13;8362,63;19603,50;18020,42;20684,21;-;458510,86
"314600 Ouro Fino";95018,10;95371,41;119321,06;116069,69;131036,81;124353,59;146507,85;133021,07;108477,80;105655,82;108543,76;107899,15;91805,76;83542,78;86203,58;57295,51;58805,54;94228,01;133662,32;136089,88;2132909,49
"314610 Ouro Preto";418751,75;365286,72;389602,35;377167,38;399330,15;411116,77;413513,20;393992,64;494983,51;423655,80;383811,86;364077,46;395393,74;398978,40;424298,15;310645,29;462919,92;331378,39;794404,69;899297,27;8852605,44
"314630 Padre Paraíso";43401,18;51359,42;54941,53;57318,30;53100,97;60505,31;117644,00;68175,95;59837,88;61854,31;45968,06;42407,09;51010,47;48345,00;49639,76;39531,52;37981,68;39538,65;38178,07;42069,40;1062808,55
"314650 Pains";7942,04;7993,37;7600,73;7527,17;13774,00;7753,46;7456,02;8899,78;8217,71;8031,35;8158,29;8107,76;7020,93;7218,84;7617,86;8386,00;7639,18;7137,91;7525,87;7312,88;161321,15
"314670 Palma";7544,77;9204,09;7556,98;10253,97;5968,60;3601,39;6344,58;11674,55;10220,91;12652,76;12186,43;11239,11;10504,67;7323,07;9709,41;13865,01;9071,08;8485,58;7811,15;8427,88;183645,99
"314710 Pará de Minas";453785,95;438902,44;441206,19;410924,61;566490,17;480450,67;464085,83;534616,18;425161,81;537739,60;462413,62;443795,39;476064,32;430645,11;537105,66;504608,56;447602,48;433784,87;487595,21;462660,79;9439639,46
"314700 Paracatu";381912,39;313969,32;346031,72;309922,84;362109,35;397390,33;395849,13;256678,74;305814,05;361760,80;259718,55;395768,71;604102,88;335389,87;360258,54;308744,48;339275,95;367495,04;353657,00;385364,06;7141213,75
"314720 Paraguaçu";24049,05;18864,95;22436,93;22085,18;28349,94;33505,32;29448,66;29100,76;28994,60;31851,89;26858,03;26535,16;21104,70;30433,37;24381,18;21387,00;27512,01;21869,37;25977,04;25289,56;520034,70
"314730 Paraisópolis";25889,35;28813,94;24646,99;30353,20;18633,31;21561,66;34168,83;25994,69;28182,41;25672,63;26056,01;20510,04;27196,56;27186,36;28306,18;19841,38;21268,21;22847,76;20510,14;18872,70;496512,35
