 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"110149 São Francisco do Guaporé";46964,84;151506,34;60981,69;-;57299,50;72081,85;45519,49;42600,18;57663,02;50704,58;26238,90;24867,14;51657,68;34385,78;80495,84;74101,89;67062,36;38227,26;53964,81;28506,99;1064830,14
"110032 São Miguel do Guaporé";41770,98;38735,95;46157,14;42964,08;45084,60;54864,69;53395,47;25489,40;18915,19;24114,37;22886,51;24089,68;42609,77;51483,33;51072,13;47015,31;46809,95;24506,96;41087,67;51420,38;794473,56
"110150 Seringueiras";14077,53;8966,82;5394,14;9186,75;11895,67;16548,25;11604,60;14445,30;17642,66;13197,39;9126,98;12682,24;9721,79;11269,45;7273,60;5768,61;5117,31;8987,65;5027,14;-;197933,88
"110155 Teixeirópolis";7264,49;1380,58;2701,90;3752,40;3953,89;2633,56;3170,09;2563,89;5101,49;2331,08;2458,88;904,17;3585,83;1546,41;1832,61;403,83;-;4072,04;480,87;1383,52;51521,53
"110160 Theobroma";5512,96;2272,46;4653,85;6418,36;3839,24;4506,36;4510,18;4268,79;6917,98;4070,45;3422,71;4133,06;4672,71;5141,25;4185,60;3195,49;1948,20;-;-;-;73669,65
"110170 Urupá";6206,66;4882,75;7930,42;10734,12;12241,38;10531,11;12920,21;10820,75;10172,28;7371,71;5808,94;6489,03;6693,98;5324,73;5450,02;2250,97;2056,54;1533,01;4907,66;2021,98;136348,25
"110175 Vale do Anari";947,78;474,88;2238,56;5557,60;6805,02;6295,91;5753,90;3291,87;3160,73;-;-;-;-;-;-;-;-;-;-;-;34526,25
"110180 Vale do Paraíso";986,25;2330,84;801,10;3195,01;3881,18;938,02;2380,34;3506,97;1364,17;1715,31;995,06;2062,61;1293,05;3961,26;3180,13;88,70;2754,98;204,50;4164,84;-;39804,32
"110030 Vilhena";395220,83;471595,77;466747,48;548830,82;471201,03;490602,69;470842,87;513690,53;579084,12;553384,40;555797,94;519680,94;473271,12;511137,88;395485,80;504069,25;453304,06;537796,76;535967,58;641182,75;10088894,62
"120001 Acrelândia";2685,31;4177,46;6388,32;3012,37;4478,14;-;-;-;-;9000,00;2604,55;2621,17;5353,50;4379,77;2293,32;4999,94;1008,08;1799,94;-;-;54801,87
"120005 Assis Brasil";14107,30;-;13194,93;-;16184,32;8492,90;-;-;-;-;-;-;-;22506,98;8597,46;5035,55;8158,21;6347,03;3865,90;-;106490,58
"120010 Brasiléia";60667,06;69566,30;78699,37;58378,48;79891,82;71378,76;70672,37;61246,36;47988,91;84092,93;66780,16;63433,74;64760,05;63225,14;60892,68;65975,24;87861,04;61708,96;141192,21;-;1358411,58
"120020 Cruzeiro do Sul";159977,96;240284,68;237397,48;252900,68;307016,63;467147,38;546281,09;512630,46;409659,26;406446,86;376467,15;317338,11;207222,48;385382,82;364534,17;325096,70;318029,45;401837,78;702374,84;-;6938025,98
"120030 Feijó";-;22551,65;14430,37;26143,39;-;16733,75;11318,02;-;-;5038,62;910,80;-;764,49;7076,85;-;-;-;-;100,22;-;105068,16
"120033 Mâncio Lima";-;-;-;-;669,37;-;24137,38;-;-;-;-;9812,19;-;598,42;-;898,51;733,42;-;6138,39;-;42987,68
"120034 Manoel Urbano";-;12597,24;9188,50;8348,93;9770,50;8003,17;10018,85;7298,60;3885,24;8721,46;11172,64;8005,15;5336,53;10858,83;9014,99;4726,36;226,16;-;6823,42;-;133996,57
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;730,30;9337,00;-;21037,13;-;4526,87;9303,34;-;7522,51;9585,80;7849,47;6372,09;5922,42;-;82186,93
"120038 Plácido de Castro";7424,85;1911,60;19246,98;34151,65;11164,21;4395,27;16745,32;20217,70;14612,91;17474,56;15263,53;14646,20;15235,82;13421,81;19575,47;6678,18;2753,27;1017,24;4668,18;-;240604,75
"120039 Porto Walter";5364,38;-;-;-;-;-;-;-;-;-;-;-;-;-;3072,16;-;47,27;-;-;-;8483,81
"120040 Rio Branco";2265397,56;1368761,94;2451977,35;1864998,03;2219676,77;2499546,89;2393247,67;2441917,97;2419173,77;2400594,79;2443397,81;2289111,39;2874961,53;2770612,56;2474672,36;1731578,81;2335991,55;2408175,88;2901068,42;-;44554863,05
"120042 Rodrigues Alves";-;2967,52;5466,31;-;7014,55;5104,75;2928,55;3503,70;7470,14;5059,22;6979,01;5106,71;19434,54;4762,92;6325,87;9949,64;13071,19;3683,21;7185,41;-;116013,24
"120043 Santa Rosa do Purus";-;2452,14;-;-;-;-;-;-;4226,21;5364,10;-;21247,90;-;-;-;-;-;-;-;-;33290,35
"120050 Sena Madureira";58125,98;85725,87;74746,23;76648,76;78916,57;55028,70;75425,64;60341,84;48660,59;65764,04;28297,78;50682,21;54953,90;62867,54;60049,14;56433,79;45133,55;73994,43;59189,78;-;1170986,34
"120045 Senador Guiomard";40606,09;18456,05;24105,17;-;-;12648,82;13397,66;-;18915,49;14069,38;-;16678,88;-;-;-;-;4937,62;26760,13;13151,45;-;203726,74
"120060 Tarauacá";33297,02;61572,61;142542,77;73293,12;88167,45;91318,31;70545,54;69750,93;70709,46;66709,54;51918,18;54409,25;50928,17;48095,00;40194,56;53816,27;62613,63;47301,20;53269,07;-;1230452,08
"120070 Xapuri";17001,01;15404,89;19055,85;13752,59;17680,25;20354,89;15274,45;18754,32;7443,67;15429,66;17730,14;17251,51;23549,20;23902,43;19258,51;11867,81;7926,33;6247,91;10243,49;-;298128,91
"130002 Alvarães";21718,09;29248,01;36784,60;26816,98;23626,84;28787,89;34631,81;31844,73;22049,65;15460,20;17580,25;19446,96;11071,51;14889,24;18914,78;20444,48;56092,87;42669,10;39939,32;37083,09;549100,40
"130006 Amaturá";9172,81;8069,69;8539,67;12832,40;13198,44;8906,53;6673,58;20120,07;14078,45;20030,96;19601,20;12596,13;13331,01;3033,83;16337,05;11021,51;31174,47;19308,11;24563,21;-;272589,12
"130008 Anamã";14179,23;14013,79;15957,15;-;37451,14;19485,02;11527,10;9668,12;-;24963,90;-;-;-;-;-;-;-;-;-;-;147245,45
"130010 Anori";12411,79;14429,59;16410,93;18501,76;18817,85;19009,85;20842,58;15437,64;22408,61;16253,68;21901,50;18291,36;15058,61;18960,90;19425,50;13311,19;22045,63;14503,27;-;42895,45;360917,69
"130014 Apuí";31232,68;29320,07;38490,75;39329,75;9832,94;26588,52;41497,49;26703,22;39311,58;31787,07;44464,26;38120,26;30832,85;27360,39;36665,90;36763,69;36280,58;37404,75;28593,56;-;630580,31
"130020 Atalaia do Norte";15658,32;12350,44;13351,23;11051,10;13195,07;13141,07;17304,54;9990,42;9465,72;19787,43;11137,33;13958,53;16997,30;10308,38;10953,05;4504,43;14777,04;28251,30;12264,09;11893,26;270340,05
"130030 Autazes";37360,79;31824,61;35382,39;42928,60;37926,48;40772,30;42007,37;30840,83;41179,42;24972,80;25857,10;31048,43;32438,62;36607,49;39595,24;39070,36;74782,52;25714,71;39183,78;33038,98;742532,82
"130040 Barcelos";-;16607,65;59769,79;22612,96;24890,62;-;19651,61;-;28685,23;44166,07;19074,29;-;-;30672,77;-;18258,61;-;-;45003,11;-;329392,71
